"How often do you visit shopping websites?
(eg. Amazon, Walmart, Shoppers, etc.)",Are you a regular customer on the online websites you shop from?,"When browsing online, how long do you typically spend before making a decision?","On average, how many product pages do you view on a website?","Do you compare prices before purchasing?
(eg., checking Walmart vs Amazon)",Do you read reviews before making a purchase?,Do you shop more on weekends?,"When you visit an online store, how likely are you to actually complete a purchase?","During your most recent online shopping session, did you complete a purchase?","In the past month, have you left an abandoned cart on an online shopping platform?

(added items to cart but never checked out)",What type of shopper do you think you are?
Regularly (once a week),"Yes, I often use the same stores",5-10 minutes,6-10 pages,Often,Always,Sometimes,Likely,Yes,"Yes, once",Impulse buyer
Frequently (multiple times a week),"Sometimes, depends on the product",10-20 minutes,3-5 pages,In this economy?? (Always!),Always,No,Very likely,No,"Yes, multiple times",Occasional shopper
Occasionally (1-3 times per month),"No, I mostly browse different stores everytime",10-20 minutes,1-2 pages,Sometimes,Only for expensive items,No,Neutral,No,"Yes, multiple times",Window shopper (browses but rarely buys)
Frequently (multiple times a week),"Yes, I often use the same stores",10-20 minutes,6-10 pages,In this economy?? (Always!),Always,Sometimes,Neutral,Yes,"Yes, multiple times",Research-heavy shopper (reads and compares everything before buying)
Regularly (once a week),"Sometimes, depends on the product",5-10 minutes,3-5 pages,Often,Only for expensive items,Depends on sales or events,Neutral,Yes,"Yes, once",Occasional shopper
Rarely,"Sometimes, depends on the product",More than 20 minutes,11-20 pages,In this economy?? (Always!),Always,Sometimes,Very likely,Yes,"Yes, multiple times",Impulse buyer
Regularly (once a week),"Yes, I often use the same stores",5-10 minutes,3-5 pages,Often,Always,Sometimes,Likely,No,"Yes, once",Occasional shopper
Occasionally (1-3 times per month),"Sometimes, depends on the product",10-20 minutes,3-5 pages,Never,Never,No,Likely,Yes,No,Window shopper (browses but rarely buys)
Regularly (once a week),"Yes, I often use the same stores",10-20 minutes,6-10 pages,Often,Only for expensive items,Sometimes,Unlikely,No,No,Window shopper (browses but rarely buys)
Frequently (multiple times a week),"No, I mostly browse different stores everytime",10-20 minutes,11-20 pages,Often,Sometimes,No,Neutral,Yes,"Yes, once",Bargain shopper
Frequently (multiple times a week),"Yes, I often use the same stores",10-20 minutes,6-10 pages,In this economy?? (Always!),Always,Depends on sales or events,Likely,Yes,"Yes, once",Impulse buyer
Everyday,"Yes, I often use the same stores",5-10 minutes,6-10 pages,Often,Always,Depends on sales or events,Likely,No,"Yes, multiple times",Bargain shopper
Occasionally (1-3 times per month),"No, I mostly browse different stores everytime",10-20 minutes,6-10 pages,Sometimes,Sometimes,No,Likely,Yes,"Yes, once",Research-heavy shopper (reads and compares everything before buying)
Frequently (multiple times a week),"Sometimes, depends on the product",More than 20 minutes,11-20 pages,In this economy?? (Always!),Always,Depends on sales or events,Very likely,Yes,"Yes, multiple times",Research-heavy shopper (reads and compares everything before buying)
Occasionally (1-3 times per month),"Sometimes, depends on the product",10-20 minutes,11-20 pages,Sometimes,Sometimes,Sometimes,Neutral,Yes,"Yes, multiple times",Occasional shopper
Regularly (once a week),"Sometimes, depends on the product",10-20 minutes,6-10 pages,Sometimes,Sometimes,Depends on sales or events,Very likely,Yes,No,Research-heavy shopper (reads and compares everything before buying)
Regularly (once a week),"Sometimes, depends on the product",10-20 minutes,3-5 pages,Sometimes,Sometimes,Depends on sales or events,Very likely,Yes,"Yes, once",Impulse buyer
Occasionally (1-3 times per month),Not sure,5-10 minutes,6-10 pages,In this economy?? (Always!),Sometimes,No,Neutral,Yes,"Yes, multiple times",Occasional shopper
Occasionally (1-3 times per month),"No, I mostly browse different stores everytime",10-20 minutes,3-5 pages,Often,Sometimes,No,Unlikely,No,No,Window shopper (browses but rarely buys)
Everyday,"Sometimes, depends on the product",More than 20 minutes,11-20 pages,Often,Sometimes,No,Unlikely,No,"Yes, once",Occasional shopper
